Crop,Year,Harvest,Treatment,Block,Average LH,CP,RFV,DWY
AOg1,2018,July,Conventional,1,0.1,28.1,135,1.94
AOg1,2018,July,Conventional,2,0.05,24.7,124,2.52
AOg1,2018,July,Conventional,3,0.05,23.3,114,2.28
AOg1,2018,July,Innovative,1,1.15,25.3,134,2.06
AOg1,2018,July,Innovative,2,0.9,19.2,97,2.41
AOg1,2018,July,Innovative,3,0.55,22.7,120,2.42
AOg2,2019,June,Conventional,1,0.96,18.85,114,1.51
AOg2,2019,June,Conventional,2,1.03,18.35,103.5,1.22
AOg2,2019,June,Conventional,3,0.16,18.7,103.5,1.2
AOg2,2019,June,Innovative,1,0.86,19.8,114,1.19
AOg2,2019,June,Innovative,2,1,17.5,105,1.07
AOg2,2019,June,Innovative,3,0.96,19.5,114,1.52
AOg2,2019,August,Conventional,1,0.1,24,127.33,2.01
AOg2,2019,August,Conventional,2,0.18,21.97,118,2.08
AOg2,2019,August,Conventional,3,0.05,19.2,106,1.73
AOg2,2019,August,Innovative,1,0.09,22,121,1.58
AOg2,2019,August,Innovative,2,0.16,21.7,113,1.67
AOg2,2019,August,Innovative,3,0,22.3,119,2.08
AOg1,2021,June,Conventional,2,0.08,23.2,186,2.27
AOg1,2021,June,Conventional,4,0.13,23.2,177,2.09
AOg1,2021,June,Innovative,1,0.25,26.6,186,1.45
AOg1,2021,June,Innovative,2,0.45,24.8,158,1.86
AOg1,2021,June,Innovative,3,0.3,24.2,172,1.81
AOg1,2021,July,Conventional,1,0.35,24.5,144,3.48
AOg1,2021,July,Conventional,2,0.3,23.7,149,3.37
AOg1,2021,July,Conventional,3,0.35,23.7,162,2.94
AOg1,2021,July,Innovative,1,0.38,23.3,145,2.14
AOg1,2021,July,Innovative,2,0.19,25.6,169,3.03
AOg1,2021,July,Innovative,3,0.1,26.7,199,2.78
AOg2,2021,July,Conventional,1,0.13,22.6,128,3.2
AOg2,2021,July,Conventional,2,0.13,24,139,3.45
AOg2,2021,July,Conventional,4,0.15,22.5,144,3.11
AOg2,2021,July,Innovative,1,0.14,23,124,2.25
AOg2,2021,July,Innovative,2,0.31,21.8,129,2.52
AOg1,2022,June,Conventional,1,0.43,25.8,232,0.7
AOg1,2022,June,Conventional,2,0.18,20.5,181,0.5
AOg1,2022,June,Conventional,3,0.05,22.7,259,0.19
AOg1,2022,June,Innovative,1,0.8,18.1,189,0.4
AOg1,2022,June,Innovative,2,0.31,23.4,258,0.56
AOg1,2022,June,Innovative,3,0.59,22.8,301,0.39
AOg1,2022,July,Conventional,1,0.08,26.1,186,0.88
AOg1,2022,July,Conventional,2,0.13,22.9,154,1.38
AOg1,2022,July,Conventional,3,0.05,18.1,131,0.82
AOg1,2022,July,Innovative,1,0.04,28.1,195,1.02
AOg1,2022,July,Innovative,2,0,24.2,161,1.17
AOg1,2022,July,Innovative,3,0,24.2,159,1.17
AOg1,2022,August,Conventional,1,0.1,25.4,146,0.47
AOg1,2022,August,Conventional,2,0.07,25.7,150,0.81
AOg1,2022,August,Conventional,3,0.02,22.9,132,0.42
AOg1,2022,August,Innovative,1,0.1,22.3,126,0.47
AOg1,2022,August,Innovative,2,0.18,30.7,208,0.7
AOg1,2022,August,Innovative,3,0.03,27.6,192,0.65
AOg2,2022,June,Conventional,1,0.11,21,134,2.19
AOg2,2022,June,Conventional,2,0,22.7,156,2.34
AOg2,2022,June,Conventional,3,0.01,23.6,176,2.11
AOg2,2022,June,Innovative,1,0.54,21.2,151,2.04
AOg2,2022,June,Innovative,2,0.25,21.8,154,2.08
AOg2,2022,June,Innovative,3,0.18,19.5,129,1.62
AOg2,2022,July,Conventional,1,0.05,23.2,139,1.04
AOg2,2022,July,Conventional,2,0,23.6,146,1.78
AOg2,2022,July,Conventional,3,0.03,24.2,156,1.46
AOg2,2022,July,Innovative,1,0.18,25.2,166,1.17
AOg2,2022,July,Innovative,2,0.11,25.8,155,1.33
AOg2,2022,July,Innovative,3,0.06,22.3,135,1.5
AOg2,2022,August,Conventional,1,0.06,27.9,145,0.46
AOg2,2022,August,Conventional,2,0.16,27.2,158,1.23
AOg2,2022,August,Conventional,3,0.01,26.8,158,0.99
AOg2,2022,August,Innovative,1,0.15,29.7,183,0.5
AOg2,2022,August,Innovative,2,0.16,28.7,138,0.64
AOg2,2022,August,Innovative,3,0.14,24.8,150,1.32
